NumThreads,Dim,InitTime,MulTime,Runtime
12,500,0.00361889,0.0160844,0.0197033
12,500,0.00332573,0.0158135,0.0191392
12,500,0.00309087,0.015709,0.0187998
12,500,0.00321442,0.0157773,0.0189917
12,1000,0.00932127,0.108941,0.118262
12,1000,0.00884489,0.108398,0.117243
12,1000,0.00871397,0.108255,0.116969
12,1000,0.00881182,0.108382,0.117194
12,1000,0.00860551,0.108799,0.117404
12,1500,0.0196673,0.352197,0.371864
12,1500,0.0194,0.352011,0.371411
12,1500,0.0197349,0.354962,0.374697
12,1500,0.0235709,0.352492,0.376063
12,1500,0.020351,0.35379,0.374141
12,2000,0.032874,1.95747,1.99035
12,2000,0.0343013,1.96996,2.00426
12,2000,0.0322,1.96378,1.99598
12,2000,0.0341932,1.97984,2.01404
12,2000,0.0344021,1.95195,1.98635
14,500,0.00358161,0.0140179,0.0175995
14,500,0.0034695,0.0139395,0.017409
14,500,0.00325022,0.0137469,0.0169972
14,500,0.00319891,0.0136894,0.0168883
14,500,0.00308958,0.013602,0.0166915
14,1000,0.00864176,0.0936067,0.102248
14,1000,0.00852008,0.0935472,0.102067
14,1000,0.00892719,0.093483,0.10241
14,1000,0.00890374,0.105231,0.114135
14,1000,0.00861317,0.0934844,0.102098
14,1500,0.0183508,0.324118,0.342469
14,1500,0.018959,0.305887,0.324846
14,1500,0.0242783,0.30576,0.330038
14,1500,0.0191689,0.305505,0.324674
14,1500,0.0188695,0.326136,0.345006
14,2000,0.0330614,1.70105,1.73411
14,2000,0.0329191,1.70252,1.73544
14,2000,0.0332973,1.69852,1.73182
14,2000,0.0325762,1.69134,1.72392
14,2000,0.0330505,1.68203,1.71508
16,500,0.00346238,0.0125168,0.0159792
16,500,0.00324099,0.0122405,0.0154815
16,500,0.00322949,0.0121604,0.0153899
16,500,0.00326867,0.0122238,0.0154925
16,500,0.00320049,0.0122986,0.0154991
16,1000,0.0085207,0.082722,0.0912427
16,1000,0.00876984,0.0823418,0.0911117
16,1000,0.00845094,0.0823892,0.0908402
16,1000,0.00882157,0.0824659,0.0912875
16,1000,0.00905812,0.0825949,0.091653
16,1500,0.0199895,0.268339,0.288328
16,1500,0.0229408,0.276052,0.298992
