NumThreads,Dim,InitTime,MulTime,Runtime
16,1000,0.00894026,0.0825632,0.0915034
16,1000,0.00829269,0.082289,0.0905816
16,1000,0.00870953,0.0825096,0.0912191
16,1000,0.00854343,0.0823399,0.0908833
16,1000,0.00847997,0.0822209,0.0907008
16,1500,0.0204631,0.276668,0.297131
16,1500,0.0187306,0.268321,0.287051
16,1500,0.018395,0.270318,0.288713
16,1500,0.0186767,0.27839,0.297066
16,1500,0.0230244,0.277262,0.300287
16,2000,0.0328276,1.29089,1.32372
16,2000,0.0324489,1.29599,1.32843
16,2000,0.033706,1.29898,1.33268
16,2000,0.032613,1.29229,1.3249
16,2000,0.0321397,1.30199,1.33413
16,2500,0.050262,2.82611,2.87637
16,2500,0.0459688,2.74692,2.79289
16,2500,0.0493278,2.74007,2.7894
16,2500,0.0494167,2.7653,2.81472
16,2500,0.0490542,2.75918,2.80824
18,500,0.00354507,0.011164,0.0147091
18,500,0.0033533,0.0108949,0.0142482
18,500,0.00339263,0.0108377,0.0142304
18,500,0.00355981,0.0112208,0.0147807
18,500,0.00336971,0.0109079,0.0142776
18,1000,0.00842575,0.0738042,0.08223
18,1000,0.00821778,0.0739086,0.0821263
18,1000,0.00833423,0.0736391,0.0819733
18,1000,0.00825364,0.0738406,0.0820942
18,1000,0.00862698,0.0740169,0.0826439
18,1500,0.0174967,0.240187,0.257684
18,1500,0.0180411,0.24099,0.259031
18,1500,0.0181274,0.240804,0.258931
18,1500,0.0187148,0.249188,0.267902
18,1500,0.0191841,0.250911,0.270096
18,2000,0.0342958,1.26859,1.30289
18,2000,0.0358178,1.26667,1.30248
18,2000,0.0466341,1.23421,1.28085
18,2000,0.0350358,1.26675,1.30178
18,2000,0.0361855,1.25591,1.29209
18,2500,0.0496208,2.80899,2.85861
18,2500,0.0480845,2.46543,2.51351
18,2500,0.0493358,2.47726,2.52659
18,2500,0.0524669,2.48041,2.53288
18,2500,0.0495521,2.46056,2.51011
20,500,0.00678495,0.0101767,0.0169617
20,500,0.00474256,0.00980777,0.0145503
20,500,0.0124164,0.0128572,0.0252736
20,500,0.00477182,0.00991775,0.0146896
20,500,0.00833479,0.00984375,0.0181785
20,1000,0.0136612,0.0672715,0.0809328
20,1000,0.0138727,0.0675292,0.0814018
20,1000,0.0099492,0.0666464,0.0765956
20,1000,0.014921,0.0669039,0.0818249
